DistOd;TypeObject;Object_Code;ObjectName;Object_Code_T;Marker;Length;Width;Depth_min;Depth_max;OrientTD;OrientBD;MPoint_Orient;MPoint_Dist;Type_Def;DistML;DistMR;DistStL;DistStR;LinkStL;LinkStR;LinkML;LinkMR;Comments;Latitude;Longtitude;Altitude;
232652;2;0;D232652;Коррозия;ЛОЖЬ;48;52;5;5;1,45;2,09;1,51;232676;1;;;;;;;;;;;;
232724;2;0;D232724;Коррозия;ЛОЖЬ;40;118;7;7;8,57;9,51;9,21;232748;1;;;;;;;;;;;;
234004;2;0;D234004;Коррозия;ЛОЖЬ;72;85;8;8;10,42;11,21;10,45;234036;1;;;;;;;;;;;;
234100;2;0;D234100;Коррозия;ЛОЖЬ;40;46;7;7;3,36;3,57;3,51;234108;1;;;;;;;;;;;;
234236;2;0;D234236;Коррозия;ЛОЖЬ;72;59;10;10;3,45;4,12;4;234268;1;;;;;;;;;;;;
234508;2;0;D234508;Коррозия;ЛОЖЬ;72;59;6;6;10,48;11,15;11,09;234532;1;;;;;;;;;;;;
234604;2;0;D234604;Коррозия;ЛОЖЬ;88;85;6;6;11,15;11,54;11,18;234620;1;;;;;;;;;;;;
236108;2;0;D236108;Коррозия;ЛОЖЬ;56;65;8;8;7,06;7,36;7,06;236124;1;;;;;;;;;;;;
236316;0;0;W23637;Шов;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
237412;4;0;PW23741;Продольный шов;ЛОЖЬ;;;;;10,09;;;;;;;;;;;;;;;;
247448;0;0;W24745;Шов;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
249224;4;0;PW24922;Продольный шов;ЛОЖЬ;;;;;6,21;;;;;;;;;;;;;;;;
249792;2;1;D249792;Мех. повреждение;ЛОЖЬ;112;52;8;8;7,3;7,54;7,39;249880;1;;;;;;;;;;;;
258088;0;0;W25809;Шов;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
259184;4;0;PW25918;Продольный шов;ЛОЖЬ;;;;;7,42;;;;;;;;;;;;;;;;
259400;1;12;M25940;Гнутая секция;ЛОЖЬ;;;;;;;;;;;;;;;;;;влево-вниз;;;
269680;0;0;W26968;Шов;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
272800;4;0;PW27280;Продольный шов;ЛОЖЬ;;;;;2,45;;;;;;;;;;;;;;;;
277232;1;8;M27723;Пригруз;ЛОЖЬ;;;;;;;;;;;;;;;;;;Участок пригрузов конец;;;
280748;0;0;W28075;Шов;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
281916;4;0;PW28192;Продольный шов;ЛОЖЬ;;;;;11,42;;;;;;;;;;;;;;;;
284132;0;0;W28413;Шов;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
285988;4;0;PW28599;Продольный шов;ЛОЖЬ;;;;;6,33;;;;;;;;;;;;;;;;
286492;1;12;M29314;Гнутая секция;ЛОЖЬ;;;;;;;;;;;;;;;;;;вправо;;;
292428;1;1;M29246;Маркер;ИСТИНА;;;;;;;;;;;;;;;;;;М2;;;
295420;2;5;D295420;Аномалия кольцевого шва;ЛОЖЬ;328;65;0;0;6,18;6,48;6,42;295580;0;;;;;;;;;эквивалент потери металла 15%;;;
295556;0;0;W29556;Шов;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;
